"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Harry Potter films--Juvenile literature","general term","018459685","Monograph","Language material ; Text","Volume","GBB7D6706","9781408890776","","","","","","British Library [organisation]","Harry Potter : a journey through a history of magic","","","","England","London","Bloomsbury","2017","","1 volume, 25 cm","823.92","","Children's literature","English","Additional physical form: ebook version. 9781781109496 ; Published in association with The British Library"
"Harry Potter films--Juvenile literature","general term","018557848","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB7J6675","9781407182124","","","","","","","J.K. Rowling's wizarding world : a magical yearbook","","","","England","London","Scholastic","2017","","1 online resource","791.4375","","Children's literature","English",""
"Harry Potter films--Juvenile literature","general term","018568459","Monograph","Language material ; Text","Online resource (ebook)","GBB7K0795","9781781109496","","","","","","British Library [organisation]","Harry Potter : a journey through a history of magic","","","","England","London","Pottermore from J.K. Rowling","2017","","1 online resource","823.92","","Children's literature","English","Additional physical form: Print version. 9781408890776 ; Published in association with The British Library"
"Harry Potter films--Miscellanea","general term","016629829","Monograph","Language material ; Text","Volume","GBB5D2407","9781783334179","","Goldstein, Jack","","person","author ; writer","Goldstein, Jack, author ; writer [person] ; Taylor, Frankie, author [person]","Harry Potter : the ultimate book of facts : unofficial & unauthorised","","","","England","Luton, Bedfordshire","","2013","","47 pages, 21 cm","823.92","YK.2014.a.17801","","English",""
"Harry Potter films--Miscellanea","general term","016830528","Monograph","Language material ; Still image ; Text","Volume","GBB488029","9781783296019","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Harry Potter : the creature vault","","","","England","London","Titan","2014","","206 pages, chiefly illustrations (black and white and colour), 29 cm + 1 folded sheet","791.4375","LC.31.b.15189","","English","Accompanied by bestiary in pocket attached to inside back cover"
"Harry Potter series (Rowling, J. K.)","title","016315248","Monograph","Language material ; Text","Volume","","9783828830103","","Himmelsbach, Silvia","","person","author","Himmelsbach, Silvia, author [person]","Harry Potters literarischer Zauber : eine Analyse zum Erfolg der Buchserie","","Wissenschaftliche Beiträge aus dem Tectum-verlag. Reihe Literaturwissenschaft","Band 26 [Wissenschaftliche Beiträge aus dem Tectum-verlag. Reihe Literaturwissenschaft]","Germany","Marburg","Tectum","2012","","volumes, 527, lviii, a 33 pages, black and white illustrations, 22 cm","","YF.2015.a.20982","Criticsm and interpretation","English ; German","Originally presented as the author's thesis (doctoral) --Universität des Saarlandes, 2011"
"Harry Potter series (Rowling, J. K.)","title","017374702","Monograph","Language material ; Text","Volume","","9783826056444","","Woiwod, Uta","","person","author","Woiwod, Uta, author [person]","Die literarische Kommunikationsspirale : strukturelle Wechselwirkungen zwischen literarischem Text und Rezeption in der angelsächsischen Kinder- und Jugendliteratur des späten 20./frühen 21. Jahrhunderts","","Epistemata. Reihe Literaturwissenschaft","Band 829, 2015 [Epistemata. Reihe Literaturwissenschaft]","Germany","Würzburg","Königshausen & Neumann","2015","","556 pages, 15 black and white illustrations, 24 cm","","X.0950/333 (829)","","English ; German","Originally presented as the author's thesis (doctoral) --Universität Köln"
"Harry Potter series (Rowling, J. K.)","title","017853947","Monograph","Language material ; Text","Online resource (ebk)","GBB6F6879","9781306309295 ; 9781443855235","","","","","","Bell, Christopher E., 1974-, editor [person]","Legilimens! : perspectives in Harry Potter studies","","","","United Kingdom","Newcastle upon Tyne","Cambridge Scholars","2013","","1 online resource (viii, 158 pages)","823.9","ELD.DS.61123","Criticsm and interpretation","English",""
"Harry Potter","general term","013451924","Monograph","Language material ; Text","Volume","","9781413497038 ; 9781413497045","","","","","","","Selected Papers from Nimbus-2003 Compendium","","","","United States of America","","XLibris","2005","","1 volume","","m06/.21307","","English",""
"Harry Potter","title","014471912","Monograph","Language material ; Text","Volume","","9783890944869","","Hauf, Monika","","person","","Hauf, Monika [person]","Die Marke 'Harry Potter' : eine Auslegung im Sinne von C. G. Jung ; ein Erfolg der Archetypen","","","","Germany","Leipzig","Bohmeier","2006","1st Auflage","150 pages, 21 cm","133 ; 823.914","YF.2009.a.9359","","German",""
"Harry Potter","title","014533249","Monograph","Language material ; Text","Volume","","9783825804763","","Runge, Maurus","","person","","Runge, Maurus [person]","Vom Zauber der christlichen Botschaft : Plädoyer für einen Dialog zwischen Pastoraltheologie und Popularkultur an Hand der Harry-Potter-Romane","","Theologie ; Theologie und Praxis / B","22 [Theologie und Praxis / B] ; Band 86 [Theologie]","Germany","Berlin","","2007","","iv, 119 pages, 21 cm","261.58","YF.2010.a.28222","","English ; German","Published version of author's thesis (Bakkalaureatsarbeit) -- Päpstlichen Hochschule Sant'Anselmo, Rome, 2006"
"Hermeneutics","general term","017374702","Monograph","Language material ; Text","Volume","","9783826056444","","Woiwod, Uta","","person","author","Woiwod, Uta, author [person]","Die literarische Kommunikationsspirale : strukturelle Wechselwirkungen zwischen literarischem Text und Rezeption in der angelsächsischen Kinder- und Jugendliteratur des späten 20./frühen 21. Jahrhunderts","","Epistemata. Reihe Literaturwissenschaft","Band 829, 2015 [Epistemata. Reihe Literaturwissenschaft]","Germany","Würzburg","Königshausen & Neumann","2015","","556 pages, 15 black and white illustrations, 24 cm","","X.0950/333 (829)","","English ; German","Originally presented as the author's thesis (doctoral) --Universität Köln"
"Heroes in literature","general term","015710628","Monograph","Language material ; Text","Volume","GBB0E5476","9781409412441 ; 9781409412458","","Berndt, Katrin","","person","","Berndt, Katrin [person] ; Steveker, Lena, 1976- [person]","Heroism in the Harry Potter series","","Ashgate studies in childhood, 1700 to the present","","England","Farnham","Ashgate","2011","","xi, 233 pages, 24 cm","823.914","YC.2011.a.4559 ; m11/.13982","","English",""
"Heroes in literature","general term","017843507","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB665621","9781317122104","","","","","","Steveker, Lena, 1976-, editor [person] ; Berndt, Katrin, editor [person]","Heroism in the Harry Potter series","","Ashgate studies in childhood, 1700 to the present","","England","London","Routledge","2016","","1 online resource","823.92","","Children's fiction","English","Additional physical form: Print version. 9781409412441 ; Previously issued in print: Farnham: Ashgate, 2011"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)","general term","015660414","Monograph","Language material ; Text","Volume","GBB0B7482","9780470398258 ; 9780470627082 ; 9780470627341 ; 9780470627358","","","","","","Bassham, Gregory, 1959- [person]","The ultimate Harry Potter and philosophy : Hogwarts for Muggles","","The Blackwell philosophy and pop culture series","","United States of America","Oxford","Wiley-Blackwell","2010","","xv, 288 pages, 23 cm","823.914","YC.2010.a.13985","","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)","general term","015683180","Monograph","Language material ; Text","Volume","GBB6B8559","9783527505715","","","","","","Wegberg, Tanya A., translator [person] ; Bassham, Gregory, 1959-, editor [person]","Die Philosophie bei Harry Potter","Ultimate Harry Potter and philosophy. German","","","Germany","Weinheim","KGaA ; WILEY-VCH","2010","1st Auflage","293 pages, black and white illustrations, 22 cm","823.914","YK.2013.a.18394","","German","Translated from English ; Translation of: Ultimate Harry Potter and philosophy"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)","general term","016121975","Monograph","Language material ; Text","Volume","GBB267032","9780230008496 ; 9780230008502","","","","","","Hallett, Cynthia J., 1947- [person] ; Huey, Peggy J., 1951- [person]","J.K. Rowling : Harry Potter","","New casebooks","","England","Basingstoke","Palgrave Macmillan","2012","","xi, 206 pages, 23 cm","823.92","YK.2013.a.16342","","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)","general term","017604907","Monograph","Language material ; Text","Volume","GBB5G0133","9781936367696","","Lutters, Frans","","person","author","Lutters, Frans, author [person] ; Mees, Philip, translator [person]","Who is Harry Potter?","","","","United States of America","Chatham, New York","Waldorf Publications","2016","","71 pages, 22 cm","823.92","","","English","Translated from the Dutch"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)","general term","018113703","Monograph","Language material ; Text","Volume","","9787020036646 ; 9787020103294 ; 9787020103300 ; 9787020103317 ; 9787020103324 ; 9787020103331 ; 9787020103348 ; 9787020103355","","Luolin (Rowling, Joanne Kathleen)","1965-","person","","Zheng, Xumi, wen xue [person] ; Su, Nong, translator [person] ; Ma, Aixin, translator [person] ; 马爱新 [person] ; 马爱农 [person] ; Ma, Ainong, translator [person] ; 罗林 (Rowling, Joanne Kathleen), 1965- [person] ; Rowling, J. K. [person] ; 苏农 [person] ; Luolin (Rowling, Joanne Kathleen), 1965- [person] ; 郑须弥, 文学 [person]","Ha li . bo te","Feng huang hui de mi ling ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the deathly hallows ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Harry Potter and the prisoner of Azkaban ; Huo bei de kao yan ; Shen mi de mo fa shi ; Xiao shi de mi shi ; zi ka ban de tao fan ; 哈利. 波特 ; 消失的密室 ; 火盃的考驗 ; 神秘的魔法石 ; 阿茲卡班的逃犯 ; 鳳凰會的密令","","","China","Bei jing","Ren min wen xue chu ban she ; 人民文学出版社","2014","Di 1 ban ; Ji nian ban ; 第1版 ; 纪念版","7 volumes, black and white illustrations, 24 cm","","CHI.2016.a.92","Children's fiction ; Fiction","Chinese","Ze ren zhe (Rowling) gui fan han yi xing : luo lin ; 责任者 (Rowling) 规范汉译姓 : 罗林"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)","general term","018306670","Monograph","Language material ; Text","Volume","","9787223022583","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971- [person]","Ha-ruʾe Phod-thar dang tshe rdo","Harry Potter and the philosopher's stone. Tibetan","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2007","","320 pages, illustrations, 24 cm","895.43","","Children's fiction ; Fiction","Tibetan",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)","general term","018306676","Monograph","Language material ; Text","Volume","","9787223026246","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971- [person]","Ha-ruʾe Phod-thar dang gsang baʾi khang pa","Harry Potter and the chamber of secrets. Tibetan","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2009","","348 pages, illustrations, 24 cm","895.43","","Children's fiction ; Fiction","Tibetan",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Computer games","general term","016004913","Monograph","Language material ; Text","Volume","GBB202025","9780789749420","","Rich, Jason","","person","","Rich, Jason [person]","Pottermore secrets and mysteries revealed : the unofficial guide to Pottermore.com","","","","United States of America","Indianapolis, Indiana","Que Pub","2012","","viii, 151 pages, illustrations (chiefly colour), 23 cm","823.914","YK.2013.a.4482","Game","English","Includes index"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","016303780","Monograph","Language material ; Text","Volume","GBB326881","9781408834961","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2013","Adult B format edition","223 pages, 20 cm","823.92","","Fantasy ; Fiction","English","Originally published: 1997"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","016303781","Monograph","Language material ; Text","Volume","GBB326882","9781408834978","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2013","","251 pages, 20 cm","823.92","","Fantasy ; Fiction","English","Originally published: 2004"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","016303782","Monograph","Language material ; Text","Volume","GBB326883","9781408834985","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the prisoner of Azkaban","","Harry Potter series","","England","London","Bloomsbury","2013","","317 pages, 20 cm","823.92","","Fantasy ; Fiction","English","Originally published: 1999"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","016303784","Monograph","Language material ; Text","Volume","GBB326885","9781408835005","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2013","Adult B format edition","766 pages, 20 cm","823.92","","Fantasy ; Fiction","English","Originally published: 2004"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","016303785","Monograph","Language material ; Text","Volume","GBB326886","9781408835012","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2013","","607 pages, 20 cm","823.92","H.2014/.6566","Fantasy ; Fiction","English","Originally published: 2005"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","016303786","Monograph","Language material ; Text","Volume","GBB326887","9781408835029","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Deathly Hallows","","","","England","London","Bloomsbury","2013","","607 pages, 20 cm","823.92","","Fantasy ; Fiction","English","Originally published: 2007"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","017380630","Monograph","Language material ; Text","Volume","GBB569847","9781408865279","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the philosopher's stone","Harry Potter and the philosopher's stone","The Harry Potter series","","England","London","Bloomsbury","2015","","331 pages, illustrations, 21 cm","823.92","YKL.2016.a.3696","Fantasy ; Fiction","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","017380631","Monograph","Language material ; Text","Volume","GBB569848","9781408865408","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the chamber of secrets","Harry Potter and the chamber of secrets","","","England","London","Bloomsbury","2015","","359 pages, illustrations, 21 cm","823.92","Nov.2016/1599","Fantasy ; Fiction","English","Originally published: 1998 ; illustrations on lining papers"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","017380632","Monograph","Language material ; Text","Volume","GBB569849","9781408865415","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the prisoner of Azkaban","Harry Potter and the prisoner of Azkaban","The Harry Potter series","","England","London","Bloomsbury","2015","","461 pages, illustrations, 21 cm","823.92","YKL.2016.a.3697","Fantasy ; Fiction","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","017380633","Monograph","Language material ; Text","Volume","GBB569850","9781408865422","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the goblet of fire","Harry Potter and the goblet of fire","The Harry Potter series","","England","London","Bloomsbury","2015","","616 pages, illustrations, 21 cm","823.92","YKL.2016.a.3700","Fantasy ; Fiction","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","017380634","Monograph","Language material ; Text","Volume","GBB569851","9781408865439","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the Order of the Phoenix","Harry Potter and the order of the phoenix","The Harry Potter series","","England","London","Bloomsbury","2015","","799 pages, illustrations, 21 cm","823.92","YKL.2016.a.3695","Fantasy ; Fiction","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","017380635","Monograph","Language material ; Text","Volume","GBB569852","9781408865446","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the half-blood prince","Harry Potter and the half-blood prince","The Harry Potter series","","England","London","Bloomsbury","2015","","541 pages, illustrations, 21 cm","823.92","YKL.2016.a.3699","Fantasy ; Fiction","English","Originally published: 2005"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Fiction","general term","017380636","Monograph","Language material ; Text","Volume","GBB569853","9781408865453","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter & the Deathly Hallows","Harry Potter and the Deathly Hallows","The Harry Potter series","","England","London","Bloomsbury","2015","","619 pages, illustrations, 21 cm","823.92","YKL.2016.a.3698","Fantasy ; Fiction","English","Originally published: 2007"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","014752993","Monograph","Language material ; Text","Volume","","9788877827029","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Riglietti, Serena [person]","Harry Potter e la pietra filosofale : romanzo","Harry Potter and the philosopher's stone. Italian","","","Italy","Milano","A. Salani","2008","1st edition","293 pages, illustrations, 21 cm","823.914","YK.2011.a.33194","Children's fiction ; Fantasy ; Fiction","Italian","Sequel: Harry Potter e la Camera dei Segreti ; Translated from the English"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","014834209","Monograph","Language material ; Text","Volume","GBB285780","9780747595861","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Deathly Hallows","","","","England","London","Bloomsbury","2007","","831 pages, 18 cm","823.92","H.2012/.8880","Children's fiction ; Fantasy","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","015589488","Monograph","Language material ; Text","Volume","GBB078728","9781408810545","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2010","","223 pages, 20 cm","823.914","YK.2011.a.21127","Children's fiction ; Fantasy","English","Originally published: 1997"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","015589489","Monograph","Language material ; Text","Volume","GBB078729","9781408810552","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2010","","251 pages, 20 cm","823.914","YK.2011.a.21128","Children's fiction ; Fantasy","English","Originally published: 1998"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","015589490","Monograph","Language material ; Text","Volume","GBB078730","9781408810569","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2010","","317 pages, 20 cm","823.914","YK.2011.a.21129","Children's fiction ; Fantasy","English","Originally published: 1999"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","015589491","Monograph","Language material ; Text","Volume","GBB078731","9781408810576","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2010","","636 pages, 20 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: 2000"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","015589492","Monograph","Language material ; Text","Volume","GBB078732","9781408810583","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2010","","607 pages, 20 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: 2005"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","015589493","Monograph","Language material ; Text","Volume","GBB078733","9781408810590","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2010","","766 pages, 20 cm","823.914","YK.2011.a.21130","Children's fiction ; Fantasy","English","Originally published: 2003"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","015589494","Monograph","Language material ; Text","Volume","GBB078734","9781408810606","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Deathly Hallows","","","","England","London","Bloomsbury","2010","","607 pages, 20 cm","823.914","YK.2011.a.21131","Children's fiction ; Fantasy","English","Originally published: 2007"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","015595086","Monograph","Language material ; Text","Volume","GBB081443","9781408810293","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Deathly Hallows","","","","England","London","Bloomsbury","2010","Celebratory edition","607 pages, 20 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: 2007"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","016303783","Monograph","Language material ; Text","Volume","GBB326884","9781408834992","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2013","","636 pages, 20 cm","823.92","","Children's fiction ; Fantasy","English","Originally published: 2000"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","016774916","Monograph","Language material ; Text","Volume","GBB468506","9781408855652 ; 9781408855898","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2014","","331 pages, 1 map, 21 cm","823.92","Nov.2015/2068","Children's fiction ; Fantasy","English","Originally published: 1997"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","016774917","Monograph","Language material ; Text","Volume","GBB468507","9781408855669 ; 9781408855904","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2014","","359 pages, 1 map, 21 cm","823.92","YKL.2015.a.11744","Children's fiction ; Fantasy","English","Originally published: 1998"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","016774918","Monograph","Language material ; Text","Volume","GBB468508","9781408855676 ; 9781408855911","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2014","","461 pages, 1 map, 21 cm","823.92","YKL.2015.a.11745","Children's fiction ; Fantasy","English","Originally published: 1999"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","016774919","Monograph","Language material ; Text","Volume","GBB468509","9781408855683 ; 9781408855928","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the goblet of fire","","The Harry Potter series","4 [The Harry Potter series]","England","London","Bloomsbury","2014","","616 pages, 1 map, 21 cm","823.92","YKL.2015.a.11406","Children's fiction ; Fantasy","English","Originally published: 2000"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","016774920","Monograph","Language material ; Text","Volume","GBB468510","9781408855690 ; 9781408855935","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2014","","799 pages, illustrations, 1 map, 21 cm","823.92","YKL.2015.a.11746","Children's fiction ; Fantasy","English","Originally published: 2003"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","016774921","Monograph","Language material ; Text","Volume","GBB468511","9781408855706 ; 9781408855942","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the half-blood prince","","The Harry Potter series","6 [The Harry Potter series]","England","London","Bloomsbury","2014","","541 pages, 1 map (black and white), 20 cm","823.92","YKL.2015.a.15339","Children's fiction ; Fantasy","English","Originally published: 2005"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","016774922","Monograph","Language material ; Text","Volume","GBB468512","9781408855713 ; 9781408855959","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Deathly Hallows","","","","England","London","Bloomsbury","2014","","619 pages, 21 cm","823.92","YKL.2015.a.11747","Children's fiction ; Fantasy","English","Originally published: 2007"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","016974502","Monograph","Language material ; Text","Volume","GBB4E5176","9781408865262","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","The Harry Potter series","","England","London","Bloomsbury","2015","","331 pages, map (black and white), 23 cm","823.92","Nov.2016/2039","Children's fiction ; Fantasy","English","In slipcase ; Originally published: 1997"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017470711","Monograph","Language material ; Still image ; Text","Volume","GBB5A4313","9781408845646 ; 9781408845653 ; 9781408885109","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Rowling, J. K. [person] ; Kay, Jim, illustrator [person]","Harry Potter and the philosopher's stone : Harry Potter and the chamber of secrets","Harry Potter and the chamber of secrets ; Harry Potter and the philosopher's stone ; Novels. Selections","","","England","London","Bloomsbury","2015","","2 volumes, colour illustrations, 28 cm","823.92","LC.31.b.16061","Children's fiction ; Fantasy","English",""
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017595894","Monograph","Language material ; Still image ; Text","Volume","GBB623506","9781408871874","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Kay, Jim, illustrator [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2015","Deluxe illustrated slip case edition","245 pages, colour illustrations, 33 cm + 1 poster (folded)","823.92","LC.31.b.15084","Children's fiction","English","Includes poster entitled: Diagon Alley North side ; Text originally published: 1997 ; edition statement from publisher's website ; illustrations on endpapers"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017611420","Monograph","Language material ; Text","Volume","GBB5G2346","9781408869116","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Needham, Peter, translator [person]","Harrius Potter et camera secretorum","Harry Potter and the chamber of secrets. English","","","England","London","Bloomsbury","2016","","277 pages, 20 cm","823.92","","Children's fiction ; Fantasy","Latin","Translated from the English"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017809968","Monograph","Language material ; Text","Online resource (ebook)","GBB656002","9781781100219","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855898 ; Previously issued in print: London: Bloomsbury, 1997"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017809969","Monograph","Language material ; Text","Online resource (ebook)","GBB656003","9781781100226","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the chamber of secrets","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408845653 ; Previously issued in print: London: Bloomsbury, 1998"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017809970","Monograph","Language material ; Text","Online resource (ebook)","GBB656004","9781781100233","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the prisoner of Azkaban","","Harry Potter","3 [Harry Potter]","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855676 ; Previously issued in print: London: Bloomsbury, 1999"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017809971","Monograph","Language material ; Text","Online resource (ebook)","GBB656005","9781781100240","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Order of the Phoenix","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855690 ; Previously issued in print: London: Bloomsbury, 2003"
"Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","general term","017809972","Monograph","Language material ; Text","Online resource (ebook)","GBB656006","9781781100257","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Half-Blood Prince","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855706 ; Previously issued in print: London: Bloomsbury, 2005"
