"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Twilight saga films","general term","017839381","Monograph","Language material ; Text","Volume","","9783826057977","","Mayer, Nadja Alexandra","","person","author","Mayer, Nadja Alexandra, author [person]","Moderne Heiligenlegenden : die Auferstehung des Märtyrers im Mainstream-Kino der Gegenwart, dargestellt am Beispiel von Harry Potter und Twilight","","Film - Medium - Diskurs","Band 65 [Film - Medium - Diskurs]","Germany","Würzburg","Königshausen & Neumann","2016","","195 pages, 24 cm","","ZF.9.a.433 (65)","","German","Originally presented as the author's thesis (doctoral) --Universität München"
"Ungdomsböcker--genusaspekter","general term","015904839","Monograph","Language material ; Text","Volume","","9789170186783","","Nilson, Maria","","person","","Nilson, Maria [person]","Från Gossip Girl till Harry Potter : genusperspektiv på ungdomslitteratur","","","","Sweden","Lund","","2010","","188 pages, 20 cm","","YF.2011.a.24827","","English ; Swedish",""
"United States","geographical term","018221967","Monograph","Language material ; Text","Online resource","GBB725699","9780857732675","","Brown, Noel","","person","","Brown, Noel [person]","The Hollywood family film : a history, from Shirley Temple to Harry Potter","","Cinema and society series","","England ; United States of America","London ; New York","I.B. Tauris","2012","","1 online resource (xii, 276 pages), illustrations","791.4375","ELD.DS.116685","History","English",""
"Universities and colleges","general term","015815043","Monograph","Language material ; Text","Volume","","","","Caterson, Simon","1967-","person","","Mannix College [organisation] ; Caterson, Simon, 1967- [person]","The idea of a residential college : image & reality from John Henry Newman to Harry Potter and 'The social network'","Idea of a residential college : image and reality from John Henry Newman to Harry Potter and 'The social network'","","","Australia","Clayton, Victoria","Mannix College","2011","","24 pages, 24 cm","","YD.2011.a.6931","","English",""
"Verenigde Staten","geographical term","018221967","Monograph","Language material ; Text","Online resource","GBB725699","9780857732675","","Brown, Noel","","person","","Brown, Noel [person]","The Hollywood family film : a history, from Shirley Temple to Harry Potter","","Cinema and society series","","England ; United States of America","London ; New York","I.B. Tauris","2012","","1 online resource (xii, 276 pages), illustrations","791.4375","ELD.DS.116685","History","English",""
"Weasley, Ron, (Fictitious character)--Juvenile literature","person","018420988","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB7C0539","9781407177809","","Baker, Felicity","","person","author","Baker, Felicity, author [person]","Ron Weasley : cinematic guide","","Harry Potter","","England","London","Scholastic","2017","","1 online resource, colour illustrations","791.4375","","Children's literature","English","Additional physical form: Print version. 9781407173177"
"Wizards in literature","general term","006916294","Monograph","Language material ; Text","Volume","GBA1W0654","9780312282547","","","","","","Moore, Sharon, 1969- [person]","Harry Potter, you're the best! : a tribute from fans the world over","","","","England ; United States of America","Maidenhead ; New York","Melia ; St Martin's","2001","1st edition","xiii, 156 pages, illustrations, 21 cm","823.914","","","English",""
"Wizards in literature","general term","007464406","Monograph","Language material ; Text","Volume","GBA380570","9781859846667","","Blake, Andrew","1955-","person","","Blake, Andrew, 1955- [person]","The irresistible rise of Harry Potter","","","","England ; United States of America","London ; New York","Verso","2002","","118 pages, 20 cm","823.914","YC.2003.a.19093 ; m02/41814","","English",""
"Wizards in literature","general term","008025509","Monograph","Language material ; Text","Volume","","9782130522058","","Smadja, Isabelle","","person","","Smadja, Isabelle [person]","Harry Potter : les raisons d'un succès","","Sociologie d'aujourd'hui","","France","Paris","Presses universitaires de France","2001","1st édition","134 pages, 22 cm","","YA.2002.a.36175","","French",""
"Wizards in literature","general term","008100627","Monograph","Language material ; Text","Volume","GBA311445","9780826214430","","","","","","Whited, Lana A., 1958- [person]","The ivory tower and Harry Potter : perspectives on a literary phenomenon","","","","England","Columbia ; London","University of Missouri Press","2002","","x, 408 pages, 25 cm","823.914","YC.2003.a.1856 ; m03/13651","","English",""
"Wizards in literature","general term","008101227","Monograph","Language material ; Text","Volume","GBA346780","9780826452320","","Nel, Philip","1969-","person","","Nel, Philip, 1969- [person]","J.K. Rowling's Harry Potter novels : a reader's guide","","Continuum contemporaries","","England ; United States of America","London ; New York","Continuum","2002","","96 pages, 20 cm","823.914","YA.2003.a.25107","","English",""
"Wizards in literature","general term","009404978","Monograph","Language material ; Text","Volume","GBA419461","9780313320675","","","","","","Anatol, Giselle Liza, 1970- [person]","Reading Harry Potter : critical essays","","Contributions to the study of popular culture","number 78 [Contributions to the study of popular culture]","England","London ; Westport, Connecticut","Praeger","2003","","xxv, 217 pages, 25 cm","823.914","3461.454200 ; YC.2004.a.3539","","English",""
"Wizards in literature","general term","010769705","Monograph","Language material ; Text","Volume","GBA370847","9781841811789","","Matthews, John","1948-","person","","Matthews, John, 1948- [person]","Wizards : the quest for the wizard from Merlin to Harry Potter","","","","England","Alresford","Godsfield","2003","","144 pages, illustrations (chiefly colour), facsimiles, portraits, 23 cm","133.430922","YK.2004.a.359","","English","bibliography: p. 140-141. - Includes index"
"Wizards in literature","general term","012459662","Monograph","Language material ; Text","Volume","","9783860726570","","","","","","Knobloch, Jörg [person]","'Harry Potter' in der Schule : didaktische Annäherungen an ein Phänomen","","","","Germany","Mühlheim an der Ruhr","Ruhr","2001","","229 pages, illustrations, 23 cm","","YA.2003.a.27508","","German",""
"Wizards in literature","general term","012617612","Monograph","Language material ; Text","Volume","GBA2V3474","9780415933735 ; 9780415933742","","","","","","Heilman, Elizabeth E. [person]","Harry Potter's world : multidisciplinary critical perspectives","","","","England ; United States of America","London ; New York","RoutledgeFalmer","2003","","ix, 308 pages, 24 cm","823.914","YC.2003.a.97 ; m03/11420","","English",""
"Wizards in literature","general term","012940672","Monograph","Language material ; Text","Volume","","9783833300370","","Maar, Michael","","person","","Maar, Michael [person]","Warum Nabokov Harry Potter gemocht hätte","","","","Germany","Berlin","Berliner Taschenbuch","2003","","199 pages, 19 cm","","YF.2004.a.17816","","German",""
"Wizards in literature","general term","012967686","Monograph","Language material ; Text","Volume","GBA457896","9780826215499","","","","","","Whited, Lana A., 1958- [person]","The ivory tower and Harry Potter : perspectives on a literary phenomenon","","","","England ; United States of America","Columbia, Missouri ; London","University of Missouri Press","2004","","x, 418 pages, 1 portrait, 24 cm","823.914","YC.2006.a.5091","","English",""
"Wizards in literature","general term","013028967","Monograph","Language material ; Text","Volume","GBA478917","9781841812649","","Matthews, John","1948-","person","","Matthews, John, 1948- [person]","Wizards : the quest for the wizard from Merlin to Gandalf and Harry Potter","","","","England","Alresford","Godsfield","2005","","144 pages, illustrations (some colour), portraits, 23 cm","133.4309","YK.2006.a.16656","","English","Originally published: 2003"
"Wizards in literature","general term","013047892","Monograph","Language material ; Text","Volume","GBA508267","9783631525692","","Bak, Sandra","1978-","person","","Bak, Sandra, 1978- [person]","Harry Potter : auf den Spuren eines zauberhaften Bestsellers","","Europäische Hochschulschriften. Reihe I, Deutsche Sprache und Literatur Publications universitaires européennes. Série I, Langue et littérature allemandes European university studies. Series I, German language and literature","Band 1889 = volume 1889 = [Europäische Hochschulschriften. Reihe I, Deutsche Sprache und Literatur Publications universitaires européennes. Série I, Langue et littérature allemandes European university studies. Series I, German language and literature]","Germany","Frankfurt am Main ; Oxford","Lang","2004","","216 pages, 22 cm","823.914","YF.2005.a.3897","","German",""
"Wizards in literature","general term","013332983","Monograph","Language material ; Text","Volume","GBA595491","9781932100594","","","","","","Lackey, Mercedes [person]","Mapping the world of Harry Potter","","","","United States of America","Dallas, Texas ; Lancaster","Benbella ; Gazelle Drake Academic","2006","","232 pages, 23 cm","823.914","","","English",""
"Wizards in literature","general term","013378571","Monograph","Language material ; Text","Volume","GBA638160","9780773460102 ; 9780889469273","","","","","","Hallett, Cynthia Whitney [person]","Scholarly studies in Harry Potter : applying academic methods to a popular text","","Studies in British literature","volume 99 [Studies in British literature]","United States of America","Lampeter ; Lewiston, New York","Edwin Mellen","2005","","xi, 275 pages, 24 cm","823.914","YC.2007.a.4045 ; m06/.18360","","English",""
"Wizards in literature","general term","014525103","Monograph","Language material ; Text","Volume","GBA820328","9781591026204","","Kern, Edmund M.","1963-","person","","Kern, Edmund M., 1963- [person]","The wisdom of Harry Potter : what our favorite hero teaches us about moral choices","","","","United States of America","Amherst, New York ; Lancaster","Gazelle ; Prometheus","2008","New edition","1 volume, 23 cm","823.914","","","English","Previous edition: 2003"
"Wizards in literature","general term","014580933","Monograph","Language material ; Text","Volume","GBB017957","9781846940934","","Trevarthen, Geo Athena","","person","","Trevarthen, Geo Athena [person]","The seeker's guide to Harry Potter : the unauthorized course","","","","England","Winchester","","2008","","261 pages, illustrations, 22 cm","823.914","YK.2009.a.29919","","English","paperback"
"Wizards in literature","general term","014601440","Monograph","Language material ; Text","Volume","GBA861188","9780415964845","","","","","","","Critical perspectives on Harry Potter","Harry Potter's world","","","England","London","Routledge","2009","2nd edition","ix, 354 pages, 23 cm","823.914","YC.2009.a.6640 ; m09/.12116","","English",""
"Wizards in literature","general term","015116435","Monograph","Language material ; Text","Volume","GBA938932","9780230219571 ; 9780230219588","","Gupta, Suman","1966-","person","","Gupta, Suman, 1966- [person]","Re-reading Harry Potter","","","","England","Basingstoke","Palgrave Macmillan","2009","2nd edition","vii, 278 pages, 23 cm","823.914","YC.2012.a.5499","","English","Previous edition: 2003"
